,Unnamed: 0,an,ap,ar,as,br,ch,ct,date,dd,dl,dn,ga,gj,hp,hr,jh,jk,ka,kl,la,ld,mh,ml,mn,mp,mz,nl,or,pb,py,rj,sk,status,tg,tn,tr,tt,up,ut,wb
57,57,0,38,1,0,5,1,0,2020-04-02,0,141,0,0,1,3,6,1,8,14,21,0,0,88,0,1,9.0,0,0,0,1,2,13,0,Confirmed,27,75,0,486,11,3,16
60,60,0,15,0,7,2,0,0,2020-04-03,0,93,0,1,7,0,9,0,5,4,9,1,0,64,0,0,47.0,0,0,15,6,0,46,0,Confirmed,75,102,0,560,46,6,0
63,63,0,28,0,3,1,0,1,2020-04-04,0,59,0,1,13,7,26,0,17,16,11,0,0,148,0,0,25.0,0,0,1,12,0,27,0,Confirmed,43,74,0,579,60,6,0
66,66,0,64,0,0,0,0,0,2020-04-05,0,58,0,0,20,1,6,1,14,7,8,0,0,112,0,0,14.0,0,0,18,3,0,60,0,Confirmed,62,86,0,609,44,4,27
69,69,0,47,0,0,0,0,0,2020-04-06,0,22,0,0,18,4,20,1,3,12,13,0,0,121,0,0,63.0,0,0,1,11,0,35,0,Confirmed,30,50,1,484,27,5,0
72,72,0,11,0,2,6,0,0,2020-04-07,0,51,0,0,29,9,33,0,16,12,9,0,0,150,0,0,34.0,0,0,2,20,0,42,0,Confirmed,40,69,0,572,27,0,11
75,75,1,34,0,0,1,0,0,2020-04-08,0,93,0,0,11,0,24,0,33,6,9,0,0,117,0,0,51.0,0,0,0,7,0,40,0,Confirmed,49,48,0,565,29,4,8
78,78,0,15,0,1,19,0,8,2020-04-09,0,51,0,0,76,1,3,9,26,16,12,0,0,229,0,0,70.0,0,0,6,24,0,80,0,Confirmed,18,96,0,813,49,0,4
81,81,0,18,0,0,2,1,0,2020-04-10,0,183,0,0,116,0,6,1,23,10,7,1,0,210,0,0,40.0,0,0,2,21,2,98,0,Confirmed,16,77,1,871,23,0,13
84,84,0,24,0,0,4,0,7,2020-04-11,0,166,0,0,90,4,3,3,17,8,10,0,0,187,0,0,78.0,0,0,4,7,0,139,0,Confirmed,16,58,0,854,19,0,10
87,87,0,15,0,1,0,2,6,2020-04-12,0,85,0,0,48,0,16,2,21,17,2,0,0,221,0,0,33.0,0,0,0,12,0,104,0,Confirmed,28,106,0,758,31,0,8
90,90,0,19,0,2,2,0,0,2020-04-13,0,356,0,0,56,0,1,5,25,15,3,2,0,352,1,0,52.0,0,0,1,6,0,93,0,Confirmed,61,98,0,1243,75,0,18
93,93,0,45,0,1,0,0,2,2020-04-14,0,51,0,0,78,1,2,3,8,13,8,0,0,346,0,0,127.0,0,0,5,8,0,108,0,Confirmed,52,31,0,1031,102,2,38
96,96,0,41,0,0,6,0,0,2020-04-15,0,17,0,0,116,2,6,1,22,19,1,1,0,236,6,0,197.0,0,0,0,2,0,71,0,Confirmed,6,38,0,886,75,0,23
99,99,0,9,0,2,11,0,3,2020-04-16,0,62,0,0,163,0,11,1,14,36,7,0,0,285,2,0,226.0,0,0,0,11,0,55,0,Confirmed,50,25,0,1061,70,0,18
102,102,1,38,0,0,2,0,0,2020-04-17,0,67,0,0,170,3,8,3,14,44,1,0,0,120,0,0,146.0,0,0,0,14,0,98,0,Confirmed,66,56,0,922,44,3,24
105,105,2,31,0,0,1,2,0,2020-04-18,0,186,0,0,277,1,9,1,13,25,4,0,0,327,2,0,92.0,0,0,1,23,0,122,0,Confirmed,43,49,0,1371,126,2,32
108,108,1,44,0,0,10,3,0,2020-04-19,0,110,0,0,367,0,18,8,13,6,2,0,0,552,0,0,5.0,0,0,0,10,0,127,0,Confirmed,49,105,0,1580,125,2,23
111,111,1,75,0,0,17,0,0,2020-04-20,0,78,0,0,196,0,1,5,14,18,6,0,0,466,0,0,78.0,0,0,13,1,0,98,0,Confirmed,14,43,0,1239,84,2,29
114,114,1,35,0,0,13,1,0,2020-04-21,0,75,0,0,239,0,4,0,12,10,19,0,0,552,1,0,67.0,0,0,5,6,0,159,0,Confirmed,56,76,0,1537,153,0,53
117,117,1,56,0,0,17,0,0,2020-04-22,0,92,0,0,229,0,9,0,27,9,11,0,0,431,0,0,35.0,0,0,4,27,0,153,0,Confirmed,15,33,0,1292,112,0,31
120,120,4,80,0,1,27,0,0,2020-04-23,0,128,0,0,217,1,6,7,27,18,10,0,0,778,0,0,100.0,0,0,6,5,0,76,0,Confirmed,27,54,0,1667,61,1,33
123,123,7,62,0,0,53,0,0,2020-04-24,0,138,0,0,191,0,5,6,20,29,3,0,0,390,0,0,159.0,0,0,5,15,0,70,0,Confirmed,13,72,0,1408,111,1,58
126,126,4,61,0,0,28,1,1,2020-04-25,0,111,0,0,256,0,12,8,40,26,7,2,0,811,0,0,99.0,0,0,6,10,1,49,0,Confirmed,7,66,0,1835,172,0,57
129,129,0,81,0,0,26,8,0,2020-04-26,0,293,0,0,230,0,9,15,29,3,11,0,0,440,0,0,145.0,0,0,3,14,0,102,0,Confirmed,11,64,0,1607,80,3,40
132,132,0,80,0,0,69,9,0,2020-04-27,0,190,0,0,247,0,5,21,23,9,13,0,0,522,0,0,75.0,0,0,15,8,0,77,0,Confirmed,2,52,0,1568,113,0,38
135,135,0,82,0,2,20,11,1,2020-04-28,0,206,0,0,226,0,7,2,19,11,4,2,0,728,0,0,222.0,0,0,0,12,0,102,0,Confirmed,6,121,0,1902,67,3,48
138,138,0,73,0,0,37,12,0,2020-04-29,0,125,0,0,308,0,3,2,16,12,10,0,0,597,0,0,173.0,0,0,7,33,0,76,0,Confirmed,7,104,0,1705,81,1,28
141,141,0,71,0,5,22,6,2,2020-04-30,0,76,0,0,313,0,28,3,33,30,2,0,0,583,0,0,65.0,0,0,18,105,0,144,0,Confirmed,22,161,0,1801,77,2,33
